               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11895,            0.039401,            0.029572,           0.0051098,             0.12121,           0.0034599,          0.00096874,             0.10829,            0.033655,            0.027188,               0.091,               0.001,               0.001
                   1,             0.09923,            0.043017,            0.025642,           0.0096718,             0.45076,            0.032365,           0.0077583,            0.082583,            0.036537,            0.021336,            0.080961,           0.0019614,           0.0019614
                   2,            0.087054,            0.049808,            0.020619,             0.38092,             0.42045,              0.3899,             0.13386,            0.067927,            0.034508,            0.013527,            0.070778,           0.0027776,           0.0027776
                   3,            0.077334,            0.045861,            0.014502,             0.39467,             0.59848,             0.48096,             0.17678,            0.065002,            0.037515,           0.0076616,            0.060449,           0.0034486,           0.0034486
                   4,            0.070667,            0.043197,           0.0091732,             0.41773,             0.35985,             0.43759,             0.18675,            0.066428,            0.043685,           0.0045373,            0.049974,           0.0039744,           0.0039744
                   5,            0.068805,            0.041456,           0.0069698,             0.43543,             0.56061,              0.4708,             0.16429,            0.064408,             0.03279,           0.0031772,            0.039355,            0.004355,            0.004355
                   6,            0.067054,            0.037997,           0.0050839,              0.4339,             0.53409,             0.47454,             0.15106,             0.06192,            0.029783,           0.0026514,             0.02859,           0.0045904,           0.0045904
                   7,            0.064578,            0.037868,           0.0044563,             0.37841,             0.54787,             0.42512,             0.12689,            0.059892,            0.027183,           0.0022817,            0.017681,           0.0046806,           0.0046806
                   8,            0.065733,            0.040144,           0.0036297,             0.51787,             0.67581,             0.58129,             0.24832,            0.057687,            0.025606,           0.0021066,           0.0066256,           0.0046256,           0.0046256
                   9,            0.062361,            0.038554,           0.0036101,             0.46296,             0.60985,             0.60297,             0.27789,            0.053397,            0.023729,           0.0018503,             0.00406,             0.00406,             0.00406
                  10,            0.060977,            0.036277,           0.0030936,             0.45142,             0.71212,             0.60608,             0.27375,            0.051094,            0.023433,           0.0016783,             0.00406,             0.00406,             0.00406
                  11,            0.056502,            0.040825,           0.0024028,             0.67022,             0.70455,             0.72794,             0.32833,            0.049242,            0.023633,           0.0015411,              0.0034,              0.0034,              0.0034
                  12,             0.05572,            0.038016,           0.0024445,             0.65246,             0.75377,             0.72432,             0.34917,            0.047682,            0.023985,           0.0015408,             0.00274,             0.00274,             0.00274
                  13,            0.051778,            0.036808,           0.0022105,             0.75868,             0.79545,             0.84649,             0.40475,            0.043253,            0.023992,           0.0015248,             0.00208,             0.00208,             0.00208
                  14,            0.048736,            0.036526,           0.0020113,             0.79615,             0.77767,             0.86029,              0.4592,            0.041522,            0.023492,           0.0015095,             0.00142,             0.00142,             0.00142
